rating,roaster,bean,location,origin,roast_level,agtron,est_price,review_date,aroma,body,flavor,aftertaste,with_milk,acid_structure,acidity,blind_assessment,notes,who_should_drink,bottom_line
96,Paradise Roasters,Kona SL34 Peaberry,"Hilo, Hawai’i Island, Hawai’i","Kona growing region, Hawai’i Island, Hawai'i",Medium-Light,58/78,$50.00/4 ounces,2026-03-01,9,9,10,9,,9,,"Bright, juicy, vibrantly sweet. Passionfruit, pink grapefruit zest, cocoa nib, vanilla, cashew butter in aroma and cup. High-toned, juicy acidity; very viscous, syrupy-smooth mouthfeel. Long lingering, resonant, flavor-saturated finish.","Produced by Kraig Lee of Kona Farm Direct, entirely of the SL34 variety of Arabica, and processed by the washed method (fruit skin and pulp removed before drying), with a cultivated yeast strain added to the fermentation step. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 808-498-4048 for more information.",,"A beautifully composed SL34 grown in Kona that’s transparently structured, vividly expressed, and satiating throughout the profile."
96,JBC Coffee Roasters,El Proceso Chiroso,"Madison, Wisconsin","Tolima Department, Colombia",Medium-Light,57/78,$26.00/8 ounces,2026-03-01,9,9,10,9,,9,,"Balanced, richly aromatic, berry-driven. Blackberry, cocoa nib, pomelo, lemon verbena, magnolia in aroma and cup. Sparkling acidity; plush, satiny mouthfeel. Very inviting, flavor-saturated finish.","Produced by cousins Stiven Vargas Rojas and Jorge Elias Rojas Vásquez, entirely of the Chiroso variety of Arabica, and processed by a modified washed process that included two fermentation steps, the first in the whole fruit and the second after pulping (in the mucilage). JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",,"A beautifully articulated Chiroso that marries dark berry depth and citrus lift with lush florals and a satiny body — expressive, harmonious and thoroughly engaging."
92,Merge Coffee Company,Dominican Republic Ramirez Estate,"Harrisonburg, Virginia","Jarabacoa, Dominican Republic",Medium-Light,52/72,$19.99/12 ounces,2026-03-01,8,9,9,8,,8,,"Crisply sweet, berry-toned. Raspberry, baking chocolate, agave syrup, tangerine, oak aroma and cup. Briskly sweet acidity; full, syrupy mouthfeel. Chocolaty finish supported by notes of tangerine and oak.","Produced at Ramirez Estate and processed by the natural method (dried in the whole fruit). Imported by Cafe Kreyol. Merge is a specialty coffee roaster with three cafes in Harrisonburg, Virginia, dedicated to ethical sourcing of high-quality coffees. Visit www.mergecoffeeco.com for more information.",,A richly satisfying Dominican natural that balances jammy berry sweetness with chocolate depth and a lively citrus lift.
93,Merge Coffee Company,Ethiopia Sweet Lily,"Harrisonburg, Virginia",Ethiopia,Medium-Light,58/77,$18.99/12 ounces,2026-03-01,9,8,9,8,,9,,"Brightly floral, sweetly citrus-toned. Lemon blossom, peach, honey, bergamot and cocoa nib in aroma and cup. Crisp, lively acidity; smooth, velvety body. The finish is crisp and floral, with undertones of honey-like sweetness.","A blend of coffees from multiple regions in Ethiopia, processed by the washed method (fruit skin and pulp removed before drying). Imported by Cafe Kreyol. Merge is a specialty coffee roaster with three cafes in Harrisonburg, Virginia, dedicated to ethical sourcing of high-quality coffees. Visit www.mergecoffeeco.com for more information.",,"A solid washed Ethiopia that highlights floral aromatics and high-toned citrus while maintaining a smooth, approachable structure."
93,Big Shoulders Coffee,Colombia El Espejo,"Chicago, Illinois","Planadas, Tolima Department, Colombia",Light,63/89,$24.00/12 ounces,2026-03-01,8,9,9,8,,9,,"Sweetly bright, gently fruit-toned. Red apple, caramel, orange zest, almond butter and cocoa powder in aroma and cup. Lively, well-structured acidity; rounded, creamy mouthfeel. The finish consolidates to notes of soft caramel and citrus.","Produced by Reinel Borbon of Finca El Espejo, entirely of the Tabi variety of Arabica, and processed by the honey method, in which some of the fruit flesh is left on the beans during the drying process. Big Shoulders Coffee is a Chicago roaster dedicated to a fresh-roasted, honest approach that lets great coffee speak for itself.  Visit www.bigshoulderscoffee.com or call 312-846-1439 for more information.",,"A balanced honey-processed Colombia Tabi (a hybrid variety of Arabica) that pairs crisp fruit brightness with rich caramel and nut tones in a smooth, satisfying cup."
94,Utopian Coffee,Colombia Andres Martinez Espresso,"Fort Wayne, Indiana","Cauca Department, Colombia",Medium-Light,57/76,$24.00/10.9 ounces,2026-03-01,9,9,9,8,9,,,"Evaluated as espresso. Richly floral-toned, crisply chocolaty. Magnolia, dark chocolate, pistachio, lime zest, cedar in aroma and cup. Syrupy-smooth mouthfeel; floral, chocolaty finish. In cappuccino format, resonantly sweet, nutty and floral, with distinct notes of magnolia and pistachio.","Produced by Andres Martinez of Finca El Sendero, entirely of the Caturra variety of Arabica, and processed by the double-washed fermentation method. Utopian Coffee is a specialty roaster based in Fort Wayne, Indiana. Visit www.utopiancoffee.com for more information.",,"A balanced, rich, deeply floral Colombia SO espresso that leads with notes of dark chocolate and magnolia — springtime in a cup."
95,JBC Coffee Roasters,Yulieth Mora Ombligon,"Madison, Wisconsin","Palestina, Huila Department, Colombia",Medium-Light,57/79,$28.00/12 ounces,2026-03-01,9,9,9,9,,9,,"Tropical, exuberant. Rambutan, passionfruit, young ginger, star jasmine, lemon balm in aroma and cup. Juicy-bright acidity; full, satiny mouthfeel. Vibrant, lingering, fruity and floral finish with an undercurrent of sweet herbaceousness.","Produced by Julieth Mora, entirely of the Ombligon variety of Arabica, and processed by the washed method, with the addition of a strain of Saccharomyces cerevisiae yeast in the fermentation step. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.",,"Bursting with a melange of tropical aromas and flavors, this woman-farmed Colombia Ombligon, a rare variety of Arabica, is an elegant fruit bomb with a side dish of florals."
93,Scent Pursuit Roasters,Ethiopia Floral Duet,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,66/83,NT $450/8 ounces,2026-03-01,9,9,9,8,,8,,"Sweetly floral, gently spice-toned. Narcissus, cocoa nib, nutmeg, lemon balm, agave syrup in aroma and cup. Briskly sweet acidity; full, syrupy mouthfeel. Crisply sweet, cocoa- and floral-toned finish.","A 50/50 blend of two Ethiopia coffees, an anaerobic natural and a washed process. Scent Pursuit Roasters is a micro-roaster based in Taipei. Email pm16ms23@gmail.com to inquire about the coffee.",,A floral-driven Sidamo cup complicated by an inviting sweet herbaceousness and a cocoa nib throughline.
93,Scent Pursuit Roasters,Rose Fermentation,"Taipei, Taiwan","Sidamo growing region, southern Ethiopia",Light,66/84,NT $450/8 ounces,2026-03-01,,8,9,8,,9,,"Floral-toned, richly aromatic. Dried geranium, blackberry, bay leaf, baking chocolate, honey in aroma and cup. Juicy-bright acidity; lightly satiny mouthfeel. Notes of geranium and baking chocolate carry the resonant finish.","A 70/30 blend of two Ethiopia coffees, an anaerobic natural and a washed process. Scent Pursuit Roasters is a micro-roaster based in Taipei. Email pm16ms23@gmail.com to inquire about the coffee.",,"A deeply floral Sidamo supported by dark berry, sweet herb and crisp chocolate notes."
92,Caffe Luxxe,Montenero Blend,"Santa Monica, California","Ethiopia, Brazil, Mexico, Papua New Guinea",Medium-Light,54/75,$20.25/12 ounces,2026-03-01,8,8,9,8,9,,,"Evaluated as espresso. Crisply chocolaty, rich-toned. Baking chocolate, dark caramel, pomegranate, cedar, agave syrup in aroma and small cup. Velvety-smooth mouthfeel; resonant finish centered around chocolate and cedar notes. In cappuccino format, baking chocolate notes are amplified, underscored by tart pomegranate and rich cedar notes.","A blend of coffees from Ethiopia, Brazil, Mexico and Papua New Guinea, roasted for espresso applications. Caffè Luxxe is an Italian-inflected artisan roaster and retailer that emphasizes both its coffee knowledge and precision and its straightforward lack of pretension. Visit www.caffeluxxe.com or call 310-394-2222 for more information.",,"A polished, chocolate-centered espresso blend that balances dark caramel sweetness and subtle fruit brightness — especially satisfying in milk, where cocoa richness takes center stage."
94,Oak & Bond Coffee Co.,Zambia Kateshi Estate Anaerobic,"Charlotte, North Carolina","Northern Province, Zambia",Medium-Light,59/80,$22.95/12 ounces,2026-03-01,9,9,9,8,,9,,"Complex, fruity and bright. Lychee, pineapple, cocoa nib, pomelo, thyme in aroma and cup. Juicy, sparkling acidity; syrupy-smooth mouthfeel. Fruit-forward finish with undertones of pomelo and thyme.","Produced by Kateshi Estate, one of the few farms in Zambia to employ women, from trees of the Castillo, Catimor 129 and F6 varieties of Arabica, and processed by the anaerobic natural method, in which the whole fruit is fermented in tanks with limited oxygen before drying, also in the whole fruit. Oak & Bond is a specialty retail and wholesale coffee roaster based in Charlotte, North Carolina. The company’s name combines “oak,” a reference to its first coffee, a barrel-aged release, and “bond,” referring to the founders’ happy marriage. For more information, visit www.oakandbondcoffee.com.",,"A vivid Zambia anaerobic that layers tropical fruit brightness over a crisp cocoa base, delivering a lively, flavor-saturated cup with both lift and depth."
90,LB Coffee,LUCIE 100% Arabica,"Prague, Czech Republic",Mexico; Brazil; Central America,Medium-Light,52/70,Kč 340/250 grams,2026-03-01,8,8,8,8,8,,,"Evaluated as espresso. Friendly and familiar. Baking chocolate, roasted almond, dried fig, orange zest and chamomile in aroma and small cup. Smooth, medium-weight mouthfeel; crisp, bittersweet finish. In cappuccino format, chocolate and nut tones commingle with a soft citrus accent.","A blend of washed and natural-processed coffees from Mexico, Brazil and Central America, roasted for espresso applications. Imported by Sandalj Trading Company S.p.A. LB Coffee is a Prague-based specialty coffee brand founded by the singer Lucie Bílá, featuring coffees roasted at the JABLUM Czech coffee roastery. Visit www.lbcoffee.cz for more information.",,"An accessible espresso blend designed for versatility, delivering gentle sweetness and chocolate-forward comfort that performs reliably both in the straight shot and with milk."
91,Michael Caffé,Dopink Ethiopia Edition 100% Arabica,"Hradec Králové, Czech Republic","Yirgacheffe growing region, south-central Ethiopia",Light,62/88,Kč 595/500 grams,2026-03-01,8,8,9,7,,9,,"Brightly fruity, crisply chocolaty. Baking chocolate, dried red apple, lemon balm, agave syrup, oak in aroma and cup. Lively, juicy acidity; supple, lightly rounded body. The finish consolidates to red apple and gentle cocoa tones.","Produced at Marta Alemu Farm, from trees of local landrace varieties of Arabica, and processed by the natural method (dried in the whole fruit). Imported by Sucafina. Michael Caffé is a coffee shop in the Czech Republic, featuring coffees roasted at the JABLUM Czech coffee roastery. Visit www.michaelcaffe.cz for more information.",,"An approachable Yirgacheffe natural that emphasizes dried fruit and crisp chocolate with easy, everyday drinkability."
